name,year,week,neighbour,ImportTWh,ExportTWh
Dražší povolenka,2009,38,AT,0.053,0
Dražší povolenka,2009,38,SK,0,0.067
Dražší povolenka,2009,38,PL,0.001,0.066
Dražší povolenka,2009,38,DE,0.087,0.001
Dražší povolenka,2009,39,AT,0.049,0.003
Dražší povolenka,2009,39,SK,0,0.079
Dražší povolenka,2009,39,PL,0,0.076
Dražší povolenka,2009,39,DE,0.069,0.001
Dražší povolenka,2009,40,AT,0.044,0
Dražší povolenka,2009,40,SK,0,0.103
Dražší povolenka,2009,40,PL,0.001,0.072
Dražší povolenka,2009,40,DE,0.216,0
Dražší povolenka,2009,41,AT,0.052,0
Dražší povolenka,2009,41,SK,0,0.096
Dražší povolenka,2009,41,PL,0.001,0.073
Dražší povolenka,2009,41,DE,0.138,0
Dražší povolenka,2009,42,AT,0.062,0
Dražší povolenka,2009,42,SK,0,0.108
Dražší povolenka,2009,42,PL,0,0.085
Dražší povolenka,2009,42,DE,0.164,0.005
Dražší povolenka,2009,43,AT,0.045,0
Dražší povolenka,2009,43,SK,0.001,0.086
Dražší povolenka,2009,43,PL,0,0.1
Dražší povolenka,2009,43,DE,0.113,0.005
